Temperature (K),AC Moment (emu)
241.49543762207,2.21284813587985e-06
240.81701660156202,2.04513066965619e-06
239.783020019531,2.21466316223946e-06
239.24754333496102,2.1977110216829104e-06
238.702781677246,2.15884059906758e-06
238.15217590332,2.2093352797886397e-06
237.60920715332,2.24773463068436e-06
237.06008148193402,2.22117688905545e-06
236.51065826416,2.25703948766949e-06
235.964729309082,2.18543444095053e-06
235.026741027832,2.1704491559158697e-06
234.49462890625,2.23494903057e-06
233.953086853027,2.22908093049355e-06
233.406936645508,2.23999368808732e-06
232.86047363281298,2.1908521183974997e-06
232.053321838379,2.21911159819832e-06
231.511344909668,2.21669015541911e-06
230.96598815918,2.2692268132378e-06
230.41989898681598,2.2113935500019797e-06
229.60717010497999,2.25832544327686e-06
229.069900512695,2.25240181317434e-06
228.52851104736303,2.28343958365354e-06
227.979850769043,2.2787967889517502e-06
227.432411193848,2.26629698022771e-06
226.8916015625,2.26721092350564e-06
226.340927124023,2.26326983621017e-06
225.801574707031,2.20248373648787e-06
224.824996948242,2.2850580518845903e-06
224.28150939941398,2.30028312304595e-06
223.73363494872999,2.286985635554e-06
223.18717956543,2.29172900844615e-06
222.64820861816398,2.27986804735318e-06
222.102470397949,2.28037566828359e-06
221.556228637695,2.32148445385479e-06
221.00710296630902,2.35609660115586e-06
220.461730957031,2.28072195955103e-06
219.92253112793,2.2795717796968997e-06
219.37798309326197,2.37221744402333e-06
218.831573486328,2.30824189140033e-06
218.29469299316398,2.3197855654922297e-06
217.75089263916,2.32962476260075e-06
217.204704284668,2.33379989898946e-06
216.663497924805,2.34593614551873e-06
216.124229431152,2.30167296715564e-06
215.57981872558602,2.32958520762517e-06
215.03392791748,2.32978269898526e-06
214.487869262695,2.50766528770366e-06
213.943840026855,2.39084856580622e-06
213.399772644043,2.3561208894896702e-06
212.859031677246,2.36600376282046e-06
212.310157775879,2.3870436586371e-06
211.756546020508,2.36867474042103e-06
211.205390930176,2.39666568760595e-06
210.656188964844,2.37616691537532e-06
210.10959625244098,2.33105867910964e-06
209.56481933593798,2.38869361638655e-06
209.023147583008,2.39972029956114e-06
208.47762298584,2.35779289987746e-06
207.944305419922,2.36720239763985e-06
207.256011962891,2.38879088197673e-06
206.564651489258,2.24828044416642e-06
205.633407592773,2.4243356096077005e-06
205.09690856933602,2.38260760198279e-06
204.551261901855,2.3932847033319697e-06
204.002349853516,2.4752732620519198e-06
203.458076477051,2.4113263369579497e-06
202.918495178223,2.42133479772987e-06
202.377334594727,2.42189302425426e-06
201.83083343505902,2.4297193747552e-06
201.285003662109,2.4301096831018798e-06
200.743659973145,2.42546763887251e-06
200.201072692871,2.4384482467813203e-06
199.657379150391,2.4434713269569697e-06
199.115135192871,2.43484456330193e-06
198.568534851074,2.39033350943518e-06
198.024772644043,2.46762719797272e-06
197.481452941895,2.4490318828042197e-06
196.94140625,2.41601927595158e-06
196.39960479736303,2.4472898857455896e-06
195.856140136719,2.4410639043689203e-06
195.308258056641,2.4931201358146197e-06
194.765182495117,2.4637847071208696e-06
194.224395751953,2.45614602526906e-06
193.679573059082,2.46920942921966e-06
193.133674621582,2.49725215762689e-06
192.586494445801,2.49674912619076e-06
192.04357910156202,2.48893139440825e-06
191.49733734130902,2.47276482653571e-06
190.952835083008,2.56382103106799e-06
190.410026550293,2.50190140800878e-06
189.872375488281,2.4903115799581902e-06
189.332801818848,2.51122899612632e-06
188.78610992431598,2.53646718795569e-06
188.244934082031,2.52056263112532e-06
187.704902648926,2.52006507062443e-06
187.164482116699,2.53355596998432e-06
186.623329162598,2.53842111921544e-06
186.07999420166,2.5564493323126e-06
185.53783416748,2.54406026609212e-06
184.989784240723,2.52620213094469e-06
184.445243835449,2.52736257214163e-06
183.89803314209,2.63693275541612e-06
183.356109619141,2.5961803648024398e-06
182.805564880371,2.5781011572894902e-06
182.266426086426,2.5880186273159e-06
181.721641540527,2.63022366209219e-06
181.175918579102,2.55497132864863e-06
180.63331604003898,2.5776562573356202e-06
180.088317871094,2.5854534622018298e-06
179.54539489746102,2.5268119425839297e-06
178.99755859375,2.5911911306832804e-06
178.45111846923803,2.6114744090211603e-06
177.913703918457,2.75049708807645e-06
177.369064331055,2.60999776113535e-06
176.826370239258,2.62431243517891e-06
176.285293579102,2.57258382715609e-06
175.74102020263697,2.6310731315955202e-06
175.19627380371102,2.65088596003804e-06
174.650428771973,2.61943297971151e-06
174.10698699951197,2.61101943249641e-06
173.558692932129,2.64009633945469e-06
173.011756896973,2.63481122671818e-06
172.471961975098,2.62514862007348e-06
171.928771972656,2.64470815977568e-06
171.383483886719,2.68738187943377e-06
170.840805053711,2.64467616525805e-06
170.302131652832,2.67097419264473e-06
169.761184692383,2.67059356115844e-06
169.215377807617,2.64908127678443e-06
168.675231933594,2.73564983511559e-06
168.136116027832,2.69274281373825e-06
167.596771240234,2.67137249610372e-06
167.056999206543,2.7045862235303e-06
166.51634979248,2.7559078428730597e-06
165.97516632080098,2.68494559180975e-06
165.434898376465,2.6444686027095503e-06
164.896858215332,2.7076779576460603e-06
