Interpolated R,Interpolated T
998.2766,269.3677
998.7189048,235.7846891
999.1612095,214.4649197
999.6035143,201.3189172
1000.045819,192.2690072
1000.488124,184.4920924
1000.930429,177.513596
1001.372733,171.116875
1001.815038,165.0852875
1002.257343,159.2524112
1002.699648,153.636965
1003.141952,148.3003224
1003.584257,143.3038572
1004.026562,138.7079208
1004.468867,134.5283101
1004.911172,130.7199872
1005.353476,127.2335368
1005.795781,124.0195437
1006.238086,121.0285926
1006.680391,118.2116624
1007.122695,115.5355859
1007.565,112.9881033
1008.007305,110.5583838
1008.44961,108.2355969
1008.891914,106.0089117
1009.334219,103.8674977
1009.776524,101.8005242
1010.218829,99.79802384
1010.661134,97.85664735
1011.103438,95.97610731
1011.545743,94.15613293
1011.988048,92.39645338
1012.430353,90.69679784
1012.872657,89.05689552
1013.314962,87.47647559
1013.757267,85.95526643
1014.199572,84.49234165
1014.641877,83.08494184
1015.084181,81.72998924
1015.526486,80.42440611
1015.968791,79.16511467
1016.411096,77.94903719
1016.8534,76.7730959
1017.295705,75.63421305
1017.73801,74.52931088
1018.180315,73.45531163
1018.622619,72.40929978
1019.064924,71.38978356
1019.507229,70.3960094
1019.949534,69.42722995
1020.391839,68.48269787
1020.834143,67.56166584
1021.276448,66.66338651
1021.718753,65.78711255
1022.161058,64.93209662
1022.603362,64.09759138
1023.045667,63.2828495
1023.487972,62.48712365
1023.930277,61.70967515
1024.372581,60.94988626
1024.814886,60.20722808
1025.257191,59.48117375
1025.699496,58.77119639
1026.141801,58.07676915
1026.584105,57.39736516
1027.02641,56.73245757
1027.468715,56.0815195
1027.91102,55.44402409
1028.353324,54.81944449
1028.795629,54.20725383
1029.237934,53.60692524
1029.680239,53.01793186
1030.122543,52.43976986
1030.564848,51.8721771
1031.007153,51.31503583
1031.449458,50.76823024
1031.891763,50.23164452
1032.334067,49.70516285
1032.776372,49.18866943
1033.218677,48.68204845
1033.660982,48.18518409
1034.103286,47.69796055
1034.545591,47.22026201
1034.987896,46.75197267
1035.430201,46.29297671
1035.872505,45.84315832
1036.31481,45.4024017
1036.757115,44.97059102
1037.19942,44.54759611
1037.641725,44.13319034
1038.084029,43.72710749
1038.526334,43.32908118
1038.968639,42.93884507
1039.410944,42.5561328
1039.853248,42.18067799
1040.295553,41.81221431
1040.737858,41.45047537
1041.180163,41.09519484
1041.622468,40.74610634
1042.064772,40.40294352
1042.507077,40.06544002
1042.949382,39.73332947
1043.391687,39.40634553
1043.833991,39.08422183
1044.276296,38.76669201
1044.718601,38.45348971
1045.160906,38.14434857
1045.60321,37.83903835
1046.045515,37.53746571
1046.48782,37.23956975
1046.930125,36.94528957
1047.37243,36.65456428
1047.814734,36.36733297
1048.257039,36.08353475
1048.699344,35.80310873
1049.141649,35.525994
1049.583953,35.25212967
1050.026258,34.98145483
1050.468563,34.7139086
1050.910868,34.44943007
1051.353172,34.18795835
1051.795477,33.92943253
1052.237782,33.67379173
1052.680087,33.42097504
1053.122392,33.17092156
1053.564696,32.92357041
1054.007001,32.67886067
1054.449306,32.43673146
1054.891611,32.19712975
1055.333915,31.96004358
1055.77622,31.72547428
1056.218525,31.49342321
1056.66083,31.26389171
1057.103134,31.03688113
1057.545439,30.81239282
1057.987744,30.59042813
1058.430049,30.3709884
1058.872354,30.15407499
1059.314658,29.93968925
1059.756963,29.72783251
1060.199268,29.51850613
1060.641573,29.31171147
1061.083877,29.10744986
1061.526182,28.90572265
1061.968487,28.7065312
1062.410792,28.50987684
1062.853096,28.31576094
1063.295401,28.12418484
1063.737706,27.93514988
1064.180011,27.74865742
1064.622316,27.5647088
1065.06462,27.38329987
1065.506925,27.20439507
1065.94923,27.02794778
1066.391535,26.85391135
1066.833839,26.68223914
1067.276144,26.51288448
1067.718449,26.34580075
1068.160754,26.18094129
1068.603059,26.01825945
1069.045363,25.85770859
1069.487668,25.69924206
1069.929973,25.54281321
1070.372278,25.3883754
1070.814582,25.23588198
1071.256887,25.0852863
1071.699192,24.93654172
1072.141497,24.78960159
1072.583801,24.64441926
1073.026106,24.50094808
1073.468411,24.35914141
1073.910716,24.2189526
1074.353021,24.080335
1074.795325,23.94324197
1075.23763,23.80762686
1075.679935,23.67344303
1076.12224,23.54064382
1076.564544,23.40918258
1077.006849,23.27901697
1077.449154,23.15012415
1077.891459,23.02248691
1078.333763,22.89608799
1078.776068,22.77091018
1079.218373,22.64693622
1079.660678,22.5241489
1080.102983,22.40253096
1080.545287,22.28206519
1080.987592,22.16273433
1081.429897,22.04452117
1081.872202,21.92740845
1082.314506,21.81137895
1082.756811,21.69641544
1083.199116,21.58250067
1083.641421,21.46961741
1084.083725,21.35774843
1084.52603,21.24687648
1084.968335,21.13698435
1085.41064,21.02805479
1085.852945,20.92007056
1086.295249,20.81301443
1086.737554,20.70686917
1087.179859,20.60161754
1087.622164,20.49724231
1088.064468,20.39372624
1088.506773,20.29105209
1088.949078,20.18920263
1089.391383,20.08816063
1089.833687,19.98790884
1090.275992,19.88843005
1090.718297,19.78970863
1091.160602,19.69173603
1091.602907,19.59450561
1092.045211,19.49801073
1092.487516,19.40224475
1092.929821,19.30720102
1093.372126,19.21287292
1093.81443,19.11925379
1094.256735,19.02633699
1094.69904,18.9341159
1095.141345,18.84258385
1095.58365,18.75173422
1096.025954,18.66156036
1096.468259,18.57205563
1096.910564,18.48321339
1097.352869,18.39502701
1097.795173,18.30748983
1098.237478,18.22059522
1098.679783,18.13433653
1099.122088,18.04870714
1099.564392,17.96370038
1100.006697,17.87930964
1100.449002,17.79552825
1100.891307,17.71234959
1101.333612,17.62976701
1101.775916,17.54777387
1102.218221,17.46636354
1102.660526,17.38552936
1103.102831,17.3052647
1103.545135,17.22556292
1103.98744,17.14641738
1104.429745,17.06782143
1104.87205,16.98976844
1105.314354,16.91225176
1105.756659,16.83526513
1106.198964,16.75880511
1106.641269,16.6828695
1107.083574,16.60745612
1107.525878,16.53256278
1107.968183,16.4581873
1108.410488,16.3843275
1108.852793,16.31098119
1109.295097,16.23814619
1109.737402,16.16582031
1110.179707,16.09400137
1110.622012,16.02268718
1111.064316,15.95187557
1111.506621,15.88156434
1111.948926,15.81175132
1112.391231,15.74243431
1112.833536,15.67361114
1113.27584,15.60527963
1113.718145,15.53743757
1114.16045,15.4700828
1114.602755,15.40321313
1115.045059,15.33682637
1115.487364,15.27092035
1115.929669,15.20549286
1116.371974,15.14054174
1116.814278,15.0760648
1117.256583,15.01205986
1117.698888,14.94852472
1118.141193,14.8854572
1118.583498,14.82285513
1119.025802,14.76071632
1119.468107,14.69903858
1119.910412,14.63781973
1120.352717,14.57705758
1120.795021,14.51674995
1121.237326,14.45689467
1121.679631,14.39748953
1122.121936,14.33853236
1122.564241,14.2800205
1123.006545,14.22194968
1123.44885,14.16431531
1123.891155,14.10711281
1124.33346,14.05033757
1124.775764,13.993985
1125.218069,13.93805051
1125.660374,13.8825295
1126.102679,13.82741739
1126.544983,13.77270958
1126.987288,13.71840148
1127.429593,13.66448849
1127.871898,13.61096602
1128.314203,13.55782948
1128.756507,13.50507427
1129.198812,13.45269581
1129.641117,13.4006895
1130.083422,13.34905074
1130.525726,13.29777494
1130.968031,13.24685751
1131.410336,13.19629386
1131.852641,13.14607939
1132.294945,13.09620952
1132.73725,13.04667964
1133.179555,12.99748516
1133.62186,12.9486215
1134.064165,12.90008405
1134.506469,12.85186823
1134.948774,12.80396944
1135.391079,12.75638309
1135.833384,12.70910459
1136.275688,12.66212933
1136.717993,12.61545274
1137.160298,12.56907022
1137.602603,12.52297717
1138.044907,12.47716899
1138.487212,12.43164111
1138.929517,12.38638892
1139.371822,12.34140783
1139.814127,12.29669325
1140.256431,12.25224059
1140.698736,12.20804524
1141.141041,12.16410263
1141.583346,12.12040849
1142.02565,12.07696071
1142.467955,12.03375796
1142.91026,11.99079896
1143.352565,11.9480824
1143.794869,11.90560698
1144.237174,11.86337138
1144.679479,11.82137432
1145.121784,11.77961447
1145.564089,11.73809055
1146.006393,11.69680124
1146.448698,11.65574525
1146.891003,11.61492126
1147.333308,11.57432799
1147.775612,11.53396411
1148.217917,11.49382833
1148.660222,11.45391935
1149.102527,11.41423586
1149.544832,11.37477655
1149.987136,11.33554013
1150.429441,11.29652529
1150.871746,11.25773073
1151.314051,11.21915514
1151.756355,11.18079722
1152.19866,11.14265566
1152.640965,11.10472917
1153.08327,11.06701644
1153.525574,11.02951616
1153.967879,10.99222703
1154.410184,10.95514775
1154.852489,10.91827702
1155.294794,10.88161352
1155.737098,10.84515596
1156.179403,10.80890304
1156.621708,10.77285344
1157.064013,10.73700587
1157.506317,10.70135903
1157.948622,10.6659116
1158.390927,10.63066228
1158.833232,10.59560978
1159.275536,10.56075279
1159.717841,10.52609
1160.160146,10.49162011
1160.602451,10.45734182
1161.044756,10.42325382
1161.48706,10.38935481
1161.929365,10.35564349
1162.37167,10.32211855
1162.813975,10.28877869
1163.256279,10.25562261
1163.698584,10.22264904
1164.140889,10.18985672
1164.583194,10.15724438
1165.025498,10.12481074
1165.467803,10.09255453
1165.910108,10.0604745
1166.352413,10.02856937
1166.794718,9.996837872
1167.237022,9.965278737
1167.679327,9.933890698
1168.121632,9.902672487
1168.563937,9.871622834
1169.006241,9.840740471
1169.448546,9.810024129
1169.890851,9.779472541
1170.333156,9.749084438
1170.77546,9.718858551
1171.217765,9.688793611
1171.66007,9.658888351
1172.102375,9.629141502
1172.54468,9.599551794
1172.986984,9.570117961
1173.429289,9.540838733
1173.871594,9.511712842
1174.313899,9.482739019
1174.756203,9.453915996
1175.198508,9.425242504
1175.640813,9.396717275
1176.083118,9.368339041
1176.525423,9.340106532
1176.967727,9.312018481
1177.410032,9.284073619
1177.852337,9.256270677
1178.294642,9.228608387
1178.736946,9.20108548
1179.179251,9.173700689
1179.621556,9.146452744
1180.063861,9.119340377
1180.506165,9.09236232
1180.94847,9.065517303
1181.390775,9.038804059
1181.83308,9.012221319
1182.275385,8.985767815
1182.717689,8.959442278
1183.159994,8.933243439
1183.602299,8.907170031
1184.044604,8.881220784
1184.486908,8.85539443
1184.929213,8.829689701
1185.371518,8.804105328
1185.813823,8.778640042
1186.256127,8.753292576
1186.698432,8.728061661
1187.140737,8.702946028
1187.583042,8.677944477
1188.025347,8.653056248
1188.467651,8.628280754
1188.909956,8.603617408
1189.352261,8.579065624
1189.794566,8.554624813
1190.23687,8.53029439
1190.679175,8.506073767
1191.12148,8.481962358
1191.563785,8.457959577
1192.006089,8.434064835
1192.448394,8.410277546
1192.890699,8.386597123
1193.333004,8.36302298
1193.775309,8.33955453
1194.217613,8.316191185
1194.659918,8.292932359
1195.102223,8.269777466
1195.544528,8.246725917
1195.986832,8.223777127
1196.429137,8.200930508
1196.871442,8.178185474
1197.313747,8.155541438
1197.756051,8.132997813
1198.198356,8.110554012
1198.640661,8.088209448
1199.082966,8.065963534
1199.525271,8.043815684
1199.967575,8.021765311
1200.40988,7.999811828
1200.852185,7.977954647
1201.29449,7.956193183
1201.736794,7.934526848
1202.179099,7.912955055
1202.621404,7.891477218
1203.063709,7.87009275
1203.506014,7.848801064
1203.948318,7.827601573
1204.390623,7.806493689
1204.832928,7.785476828
1205.275233,7.7645504
1205.717537,7.743713821
1206.159842,7.722966502
1206.602147,7.702307857
1207.044452,7.681737299
1207.486756,7.661254241
1207.929061,7.640858097
1208.371366,7.620548279
1208.813671,7.600324201
1209.255976,7.580185276
1209.69828,7.560130917
1210.140585,7.540160537
1210.58289,7.520273549
1211.025195,7.500469366
1211.467499,7.480747402
1211.909804,7.46110707
1212.352109,7.441547783
1212.794414,7.422068954
1213.236718,7.402669995
1213.679023,7.383350322
1214.121328,7.364109346
1214.563633,7.344946627
1215.005938,7.325862026
1215.448242,7.306855441
1215.890547,7.28792677
1216.332852,7.269075913
1216.775157,7.250302769
1217.217461,7.231607236
1217.659766,7.212989212
1218.102071,7.194448598
1218.544376,7.17598529
1218.98668,7.15759919
1219.428985,7.139290194
1219.87129,7.121058202
1220.313595,7.102903112
1220.7559,7.084824824
1221.198204,7.066823235
1221.640509,7.048898246
1222.082814,7.031049754
1222.525119,7.013277659
1222.967423,6.995581859
1223.409728,6.977962253
1223.852033,6.960418739
1224.294338,6.942951217
1224.736642,6.925559585
1225.178947,6.908243742
1225.621252,6.891003587
1226.063557,6.873839018
1226.505862,6.856749934
1226.948166,6.839736235
1227.390471,6.822797818
1227.832776,6.805934583
1228.275081,6.789146429
1228.717385,6.772433253
1229.15969,6.755794956
1229.601995,6.739231435
1230.0443,6.722742589
1230.486605,6.706328318
1230.928909,6.689988519
