[Header]
TITLE, default name
FILEOPENTIME,41650449.97,6/15/2021,8:36 PM
BYAPP, Resistivity, 2.1, 1.0
INFO, APPNAME, PPMS MultiVu Application, 1.5.11
INFO, , Sample1 Name
INFO, 1, Sample1 Cross Section
INFO, 1, Sample1 Length
INFO, Ohm, Sample1 Units
INFO, , Sample2 Name
INFO, 1, Sample2 Cross Section
INFO, 1, Sample2 Length
INFO, Ohm, Sample2 Units
INFO, , Sample3 Name
INFO, 1, Sample3 Cross Section
INFO, 1, Sample3 Length
INFO, Ohm, Sample3 Units
INFO, , Sample4 Name
INFO, 1, Sample4 Cross Section
INFO, 1, Sample4 Length
INFO, Ohm-m, Sample4 Units
FIELDGROUP, Resistivity,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
STARTUPGROUP, Resistivity
STARTUPAXIS, X, 2, LINEAR, AUTO
STARTUPAXIS, Y1, 7, LINEAR, AUTO
STARTUPAXIS, Y2, 9, LINEAR, AUTO
STARTUPAXIS, Y3, 11, LINEAR, AUTO
PLOT_APPEARANCE, ALL, HORZ_GRID_ON, VERT_GRID_ON, MARKERS_AND_LINES, ALL_LINES
DATATYPE, TIME, 2
DATATYPE, COMMENT, 1
[Data]
Comment,Time Stamp (sec),Status (code),Temperature (K),Magnetic Field (Oe),Sample Position (deg),Bridge 1 Resistivity (Ohm),Bridge 1 Excitation (uA),Bridge 2 Resistivity (Ohm),Bridge 2 Excitation (uA),Bridge 3 Resistivity (Ohm),Bridge 3 Excitation (uA),Bridge 4 Resistivity (Ohm-m),Bridge 4 Excitation (uA),Bridge 1 Std. Dev. (Ohm),Bridge 2 Std. Dev. (Ohm),Bridge 3 Std. Dev. (Ohm),Bridge 4 Std. Dev. (Ohm-m),Number of Readings,Bridge 1 Resistance (Ohms),Bridge 2 Resistance (Ohms),Bridge 3 Resistance (Ohms),Bridge 4 Resistance (Ohms),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (watts),Drive 2 Iout (mA),Drive 2 Ipower (watts),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,41658529.17,5905,1.90079998970032,24999.69140625,364.809906005859,0.449290760755539,9.89299964904785,0.00364813319407403,99.9020004272461,1547.61385742188,0.00499999988824129,,,0.00243513795630469,0.00032802651074803,7.95527833581408,,25,0.449290760755539,0.00364813319407403,1547.61385742188,
,41658557.20,5905,1.89784997701645,24999.69140625,364.809906005859,0.450647543668747,9.89299964904785,0.00360231196507812,99.9020004272461,1540.68519042969,0.00499999988824129,,,0.00293329792854342,0.000269826996928129,6.72286676206655,,25,0.450647543668747,0.00360231196507812,1540.68519042969,
,41658652.17,5905,1.90119999647141,24999.728046875,364.809906005859,0.450991535186768,9.98999977111816,0.00356253751553595,98.4170007324219,1539.42149414063,0.00499999988824129,,,0.00218195364554587,0.000297686901238097,5.75854291761003,,25,0.450991535186768,0.00356253751553595,1539.42149414063,
,41658682.59,5985,1.90025001764297,24763.5078125,364.809906005859,0.451579716205597,9.98999977111816,0.00386196553707123,99.9020004272461,1537.33966796875,0.00499999988824129,,,0.00700331608186494,0.000581619780075841,15.8390945752907,,25,0.451579716205597,0.00386196553707123,1537.33966796875,
,41658712.69,5985,1.89900004863739,24011.30578125,364.809906005859,0.449618510007858,9.98999977111816,0.00336022311355919,99.9020004272461,1546.97815917969,0.00499999988824129,,,0.00928682421210601,0.000681844690425046,21.7004394290055,,25,0.449618510007858,0.00336022311355919,1546.97815917969,
,41658741.94,5985,1.89974999427795,23280.953203125,364.809906005859,0.447395588159561,9.98999977111816,0.00341291757300496,99.9020004272461,1564.95724121094,0.00499999988824129,,,0.00951810253580629,0.000807800423925202,27.5197688062603,,25,0.447395588159561,0.00341291757300496,1564.95724121094,
,41658772.45,5985,1.90005004405975,22516.555078125,364.809906005859,0.449957506656647,9.98999977111816,0.00339229800738394,99.9020004272461,1574.25724121094,0.00499999988824129,,,0.00991512357034658,0.0010464842921955,31.8887639862429,,25,0.449957506656647,0.00339229800738394,1574.25724121094,
,41658802.52,5985,1.89880001544952,21762.598125,364.809906005859,0.444967212677002,9.98999977111816,0.00337167848832905,99.9020004272461,1585.43151367188,0.00499999988824129,,,0.00521138430804258,0.000547809105611898,11.8678779157145,,25,0.444967212677002,0.00337167848832905,1585.43151367188,
,41658832.50,5985,1.89980000257492,21016.31296875,364.809906005859,0.445304490327835,9.98999977111816,0.00326781705953181,99.9020004272461,1601.47583496094,0.00499999988824129,,,0.00596843315715813,0.000441312052199372,15.5383211139285,,25,0.445304490327835,0.00326781705953181,1601.47583496094,
,41658862.36,5985,1.90030002593994,20270.333125,364.809906005859,0.443265725374222,9.98999977111816,0.00292721258476377,99.9020004272461,1620.8152734375,0.00499999988824129,,,0.00631483698504565,0.000510664064169772,14.854562560015,,25,0.443265725374222,0.00292721258476377,1620.8152734375,
,41658891.97,5985,1.89965003728867,19531.1615625,364.809906005859,0.444934456348419,9.98999977111816,0.000694191561196931,99.9020004272461,1634.19650390625,0.00499999988824129,,,0.00657358757062747,0.000584280019529602,12.251093080878,,25,0.444934456348419,0.000694191561196931,1634.19650390625,
